split,candidate_group,video_id,video_path,rep_index,start_frame,bottom_frame,end_frame,ranking_score,torso_angle__bottom_mean,torso_angle__ascent_mean,torso_angle__ascent_maximum,torso_angle__setup_to_bottom,review_label,review_confidence,review_notes
train,high,36821_3,/Users/josephkamil/Desktop/Capstone/videos/videos/36821_3.mp4,0,6,54,114,60.89074878692627,55.172203063964844,47.682247161865234,69.90933227539062,52.131649017333984,,,
train,high,47794_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47794_1.mp4,0,6,42,126,60.542640686035156,33.75212097167969,31.449176788330078,89.25949096679688,23.700592041015625,,,
train,high,46570_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46570_1.mp4,0,0,54,126,60.11243839263916,51.18600082397461,33.885860443115234,77.20683288574219,38.706993103027344,,,
train,high,47054_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47054_1.mp4,0,0,48,138,59.54906759262085,49.77996826171875,38.016998291015625,75.80217742919922,31.991743087768555,,,
train,high,47351_5,/Users/josephkamil/Desktop/Capstone/videos/videos/47351_5.mp4,0,0,48,102,52.10050716400146,45.907405853271484,40.13947677612305,60.78350830078125,44.08012390136719,,,
train,high,49000_8,/Users/josephkamil/Desktop/Capstone/videos/videos/49000_8.mp4,0,0,36,90,44.59805936813355,39.05033874511719,41.47564697265625,50.70524215698242,23.754484176635742,,,
train,high,33096_3,/Users/josephkamil/Desktop/Capstone/videos/videos/33096_3.mp4,0,12,48,84,44.11166162490844,43.43085861206055,38.022071838378906,49.155662536621094,21.43402671813965,,,
train,high,48859_3,/Users/josephkamil/Desktop/Capstone/videos/videos/48859_3.mp4,0,54,132,336,41.01528735160828,20.923171997070312,33.8001708984375,57.18952178955078,8.593985557556152,,,
train,high,46480_4,/Users/josephkamil/Desktop/Capstone/videos/videos/46480_4.mp4,0,0,30,60,40.190824890136724,40.22718811035156,36.97658157348633,43.66633224487305,18.11090850830078,,,
train,high,47523_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47523_1.mp4,0,0,36,90,38.73344016075134,31.657060623168945,27.758176803588867,49.8513069152832,6.837723731994629,,,
