reviewed_label,filename,path,content_sha256,parent_group,parent_path,segment_start,segment_end,source_duration,existing_parent_split,source_safe_for_train
clean,clean_from_cj_0001.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0001.mp4,cabb6dd78bf9278dde02986f7a952c2ec85b3584fde65ffed65f646520f0276c,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g02_c02.avi,0.0,4.41,9.8,train,True
clean,clean_from_cj_0005.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0005.mp4,07261edc94298a4916ac014d5933cc132c76aa86bef36c2ec0dd924185af64a8,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g02_c03.avi,0.0,3.798,8.44,train,True
clean,clean_from_cj_0011.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0011.mp4,cb303f46f1ec2ec7b450e8b41b29b78b8ee47b10454661cb22f5d673da11b466,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g02_c01.avi,0.0,2.5,4.12,train,True
clean,clean_from_cj_0019.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0019.mp4,83efd1548b965cd691538899d6e6ed35a5c6f454b76444ffc7a9e4761977c7dc,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g02_c04.avi,0.0,5.0,11.72,train,True
clean,clean_from_cj_0112.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0112.mp4,cabb6dd78bf9278dde02986f7a952c2ec85b3584fde65ffed65f646520f0276c,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g02_c02.avi,0.0,4.41,9.8,train,True
clean,clean_from_cj_0116.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0116.mp4,07261edc94298a4916ac014d5933cc132c76aa86bef36c2ec0dd924185af64a8,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g02_c03.avi,0.0,3.798,8.44,train,True
clean,clean_from_cj_0122.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0122.mp4,cb303f46f1ec2ec7b450e8b41b29b78b8ee47b10454661cb22f5d673da11b466,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g02_c01.avi,0.0,2.5,4.12,train,True
clean,clean_from_cj_0130.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0130.mp4,83efd1548b965cd691538899d6e6ed35a5c6f454b76444ffc7a9e4761977c7dc,g02,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g02_c04.avi,0.0,5.0,11.72,train,True
clean,clean_from_cj_0007.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0007.mp4,666ec184747b7b88f6aa3171ae63235fab92c667ed4db4aea910cb0cce75ec50,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c06.avi,0.0,4.428,9.84,train,True
clean,clean_from_cj_0014.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0014.mp4,eadb61a2a2b1340d82c0655838729baad7786c28523381f439e860ac89f0f4cd,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c05.avi,0.0,4.284,9.52,train,True
clean,clean_from_cj_0023.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0023.mp4,92c192f7854d73d934f22581ed7d169a8b720270063581f2043ba65da90ca615,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c02.avi,0.0,4.572,10.16,train,True
clean,clean_from_cj_0027.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0027.mp4,662d3537705a071d3948545460ca4914343487d235cdbbc596d0981aeae11d92,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c03.avi,0.0,4.968,11.04,train,True
clean,clean_from_cj_0118.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0118.mp4,666ec184747b7b88f6aa3171ae63235fab92c667ed4db4aea910cb0cce75ec50,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g03_c06.avi,0.0,4.428,9.84,train,True
clean,clean_from_cj_0125.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0125.mp4,eadb61a2a2b1340d82c0655838729baad7786c28523381f439e860ac89f0f4cd,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g03_c05.avi,0.0,4.284,9.52,train,True
clean,clean_from_cj_0134.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0134.mp4,92c192f7854d73d934f22581ed7d169a8b720270063581f2043ba65da90ca615,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g03_c02.avi,0.0,4.572,10.16,train,True
clean,clean_from_cj_0138.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0138.mp4,662d3537705a071d3948545460ca4914343487d235cdbbc596d0981aeae11d92,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g03_c03.avi,0.0,4.968,11.04,train,True
clean,clean_from_cj_0061.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0061.mp4,f8a0646446573316a16bdfc7596be7e708a032590eaff04c344eb54961ba3852,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g04_c05.avi,0.0,4.266,9.48,train,True
clean,clean_from_cj_0062.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0062.mp4,7faa2d27c5c6e4a64ef33fd5b6f835689c74f3a88dee37a1be5de96a394f4a7b,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g04_c04.avi,0.0,2.736,6.08,train,True
clean,clean_from_cj_0080.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0080.mp4,9363679966050743513004f88f16e8a267a6b9d000be9ead263730ff561be644,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g04_c01.avi,0.0,2.574,5.72,train,True
clean,clean_from_cj_0172.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0172.mp4,f8a0646446573316a16bdfc7596be7e708a032590eaff04c344eb54961ba3852,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g04_c05.avi,0.0,4.266,9.48,train,True
clean,clean_from_cj_0173.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0173.mp4,7faa2d27c5c6e4a64ef33fd5b6f835689c74f3a88dee37a1be5de96a394f4a7b,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g04_c04.avi,0.0,2.736,6.08,train,True
clean,clean_from_cj_0191.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0191.mp4,9363679966050743513004f88f16e8a267a6b9d000be9ead263730ff561be644,g04,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g04_c01.avi,0.0,2.574,5.72,train,True
clean,clean_from_cj_0034.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0034.mp4,26803c5884d32ae432bec5e5aac9f8c35c2e897b28353638673c07ca9f8bcba9,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g08_c02.avi,0.0,2.5,4.28,train,True
clean,clean_from_cj_0035.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0035.mp4,9864f3e391db37926b083bdfaf45e73f5b021358216c1d52fef3da5e63243483,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g08_c03.avi,0.0,2.5,4.4,train,True
clean,clean_from_cj_0039.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0039.mp4,e6f045fab7a7fe3b67f846e8b08598caae4fe3e6c492ee928fd1aa39899c1d01,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g08_c01.avi,0.0,4.248,9.44,train,True
clean,clean_from_cj_0046.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0046.mp4,d9b89e1ab6f48bd69c0ba8dbf1b74397a0788347f3d661843573a44754c57269,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g08_c04.avi,0.0,5.0,11.12,train,True
clean,clean_from_cj_0145.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0145.mp4,26803c5884d32ae432bec5e5aac9f8c35c2e897b28353638673c07ca9f8bcba9,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g08_c02.avi,0.0,2.5,4.28,train,True
clean,clean_from_cj_0146.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0146.mp4,9864f3e391db37926b083bdfaf45e73f5b021358216c1d52fef3da5e63243483,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g08_c03.avi,0.0,2.5,4.4,train,True
clean,clean_from_cj_0150.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0150.mp4,e6f045fab7a7fe3b67f846e8b08598caae4fe3e6c492ee928fd1aa39899c1d01,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g08_c01.avi,0.0,4.248,9.44,train,True
clean,clean_from_cj_0157.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0157.mp4,d9b89e1ab6f48bd69c0ba8dbf1b74397a0788347f3d661843573a44754c57269,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g08_c04.avi,0.0,5.0,11.12,train,True
clean,clean_from_cj_0050.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0050.mp4,55fcb198b4ba605df1ddfa26c5caaf415c813e9ea26854057553a034c4294f6b,g10,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g10_c03.avi,0.0,3.672,8.16,train,True
clean,clean_from_cj_0053.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0053.mp4,a7e66702af650ecda43f34630efcd40d7647e7a816ca1207d870f11bab82c84f,g10,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g10_c01.avi,0.0,3.492,7.76,train,True
clean,clean_from_cj_0161.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0161.mp4,55fcb198b4ba605df1ddfa26c5caaf415c813e9ea26854057553a034c4294f6b,g10,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g10_c03.avi,0.0,3.672,8.16,train,True
clean,clean_from_cj_0164.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0164.mp4,a7e66702af650ecda43f34630efcd40d7647e7a816ca1207d870f11bab82c84f,g10,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/CleanAndJerk/v_CleanAndJerk_g10_c01.avi,0.0,3.492,7.76,train,True
