path,filename,folder,reviewed_label,olympic_gate_label,source_id,split,include,canonical_content_sha256
/Users/josephkamil/Desktop/Capstone/Back squats- forward lean.mov,Back squats- forward lean.mov,Capstone_unused,squat_back,non_olympic,capstone_squat_back_back_squats-_forward_lean,candidate,yes,f37f3fb1ccd1dbbd6ecd0c0cd09731db1857a33e7e577fd1197f57e1d3465e72
/Users/josephkamil/Desktop/Capstone/backsquat_short.mov,backsquat_short.mov,Capstone_unused,squat_back,non_olympic,capstone_squat_back_backsquat_short,candidate,yes,4e0f10b64ee6e8106f011c6b196be9442bd8db2edea54585b55fb969aadc66c7
/Users/josephkamil/Desktop/Capstone/backsquat_test_8s.mov,backsquat_test_8s.mov,Capstone_unused,squat_back,non_olympic,capstone_squat_back_backsquat_test_8s,candidate,yes,cf3eb3107327e58aae8cbfd31290def319068aeb996f8ada648b8b0a76694190
/Users/josephkamil/Desktop/Capstone/OverheadSquat_one_rep_720p.mp4,OverheadSquat_one_rep_720p.mp4,Capstone_unused,overhead_squat,non_olympic,capstone_overhead_squat_overheadsquat_one_rep_720p,candidate,yes,96718fa46b1ce7ea204f5ca5bb1f1d99273c4b240c6f57e64d4f4b8efa6797be
/Users/josephkamil/Desktop/Capstone/IdealPushPress2.mov,IdealPushPress2.mov,Capstone_unused,push_press,non_olympic,capstone_push_press_idealpushpress2,candidate,yes,aa2bad500a5f0f59e48923b42b6fa820f3910c48bfc303a2b27909e436f98812
/Users/josephkamil/Desktop/Capstone/idealPushPress.mov,idealPushPress.mov,Capstone_unused,push_press,non_olympic,capstone_push_press_idealpushpress,candidate,yes,5490577aab813bf36c61608773f68ebf30c3214df057848e652d0b97da7dc425
/Users/josephkamil/Desktop/Capstone/pushpress-youtube.mov,pushpress-youtube.mov,Capstone_unused,push_press,non_olympic,capstone_push_press_pushpress-youtube,candidate,yes,07b62af6eff2c63cf81a90a6dc24f9d05a65a53a2e3aecde81963941008943af
/Users/josephkamil/Desktop/Capstone/bench press/bench press_57.mp4,bench press_57.mp4,Capstone_unused,bench_press,non_olympic,capstone_bench_press_bench_press_57,candidate,yes,e93ea911ea3130362522a9e8c405aa850343428c88ec6535037044b8f581923b
/Users/josephkamil/Desktop/Capstone/bench press/bench press_58.mp4,bench press_58.mp4,Capstone_unused,bench_press,non_olympic,capstone_bench_press_bench_press_58,candidate,yes,eb5ec7ef3b76fa5c15ae1bdf0a07b6400b50b5d47c8cfb81b05658be63bc0062
/Users/josephkamil/Desktop/Capstone/bench press/bench press_59.mp4,bench press_59.mp4,Capstone_unused,bench_press,non_olympic,capstone_bench_press_bench_press_59,candidate,yes,0250fd49e9c324d3ce915dfdaed424fc40d4e8b2e2d15ec92d52971d0856a101
/Users/josephkamil/Desktop/Capstone/pull Up/pull up_22.mp4,pull up_22.mp4,Capstone_unused,pull_up,non_olympic,capstone_pull_up_pull_up_22,candidate,yes,86157240b3c1a09cab32d5085c16e165a42d331b0d8cf25d284f96cdc10dd2dc
/Users/josephkamil/Desktop/Capstone/pull Up/pull up_23.mp4,pull up_23.mp4,Capstone_unused,pull_up,non_olympic,capstone_pull_up_pull_up_23,candidate,yes,ba7910005de4aa67eda193cfb6bdb2b15cdcd24016c43cfcbfc8ef2783ec33e7
/Users/josephkamil/Desktop/Capstone/pull Up/pull up_24.mp4,pull up_24.mp4,Capstone_unused,pull_up,non_olympic,capstone_pull_up_pull_up_24,candidate,yes,998a9967105c99d38dc31d27153bcfa5196b201dc7ad926952c24a4fbed2bbd5
