path,folder,filename,size_mb,reviewed_label,angle,include,notes,olympic_gate_label,source_id,split,content_sha256,duplicate_count,canonical_content_sha256
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0009.mp4,clean,clean_from_cj_0009.mp4,0.16,clean,,yes,,olympic,clean_sha_624c00d8eafd2d9e,train,624c00d8eafd2d9e4cf04417930b1100b4c796bd330c4a1b66375f5e22dbc713,2,624c00d8eafd2d9e4cf04417930b1100b4c796bd330c4a1b66375f5e22dbc713
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0084.mp4,clean,clean_from_cj_0084.mp4,0.13,clean,,yes,,olympic,clean_sha_f79539f1f60fea5e,dev,f79539f1f60fea5ef73eb32bad2f4db4cbb5f3a2da07e5a0911c4162864aee81,1,f79539f1f60fea5ef73eb32bad2f4db4cbb5f3a2da07e5a0911c4162864aee81
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0117.mp4,clean,clean_from_cj_0117.mp4,0.12,clean,,yes,,olympic,clean_sha_fa79cf8aa392e18d,train,fa79cf8aa392e18ddaef264e244b52a39b41917765b45c2a554cc906bfac5e12,1,fa79cf8aa392e18ddaef264e244b52a39b41917765b45c2a554cc906bfac5e12
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0144.mp4,clean,clean_from_cj_0144.mp4,0.13,clean,,yes,,olympic,clean_sha_d2013fdd9120c7df,train,d2013fdd9120c7df320316adbcee519931556f8c3c49faf136af69f21b24930f,1,d2013fdd9120c7df320316adbcee519931556f8c3c49faf136af69f21b24930f
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0220.mp4,clean,clean_from_cj_0220.mp4,0.16,clean,,yes,,olympic,clean_sha_9d430da8ae1e75d6,train,9d430da8ae1e75d6695cef9dfa635fe55fee373ea33c07b168ecb5636bd897ee,1,9d430da8ae1e75d6695cef9dfa635fe55fee373ea33c07b168ecb5636bd897ee
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0113.mp4,clean,clean_from_cj_0113.mp4,0.04,clean,,yes,,olympic,clean_sha_ad05499c6bf60de5,train,ad05499c6bf60de55e4cae9ecad15b66c5f4e7ce8356e8f1fe1b95c2e78eb955,1,ad05499c6bf60de55e4cae9ecad15b66c5f4e7ce8356e8f1fe1b95c2e78eb955
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0068.mp4,clean,clean_from_cj_0068.mp4,0.09,clean,,yes,,olympic,clean_sha_37fce67b65d5d955,dev,37fce67b65d5d9555c6aa0b86f0f14a60324abaecb2d645468d4b34915298590,1,37fce67b65d5d9555c6aa0b86f0f14a60324abaecb2d645468d4b34915298590
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0104.mp4,clean,clean_from_cj_0104.mp4,0.12,clean,,yes,,olympic,clean_sha_bf2b633684004f85,test,bf2b633684004f85e308cd1e0e56fc4b9e3ec20e0327de4542a45c707aecbea7,1,bf2b633684004f85e308cd1e0e56fc4b9e3ec20e0327de4542a45c707aecbea7
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0177.mp4,clean,clean_from_cj_0177.mp4,0.1,clean,,yes,,olympic,clean_sha_cc548845cd8296ed,dev,cc548845cd8296edeb19f8dcad8d485ddd85fd82a72a080c88901b4c2343bc9e,2,cc548845cd8296edeb19f8dcad8d485ddd85fd82a72a080c88901b4c2343bc9e
/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0185.mp4,clean,clean_from_cj_0185.mp4,0.17,clean,,yes,,olympic,clean_sha_cf763ab684c0b201,train,cf763ab684c0b20145ddfcb7b664cb519cba283e74b4cb9f2285df8eb1bafe98,1,cf763ab684c0b20145ddfcb7b664cb519cba283e74b4cb9f2285df8eb1bafe98
