reviewed_label,filename,path,content_sha256,parent_group,parent_path,parent_recording_id,segment_start,segment_end,segment_duration,source_duration,size_mb,split,selection_reason
clean,clean_from_cj_0044.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0044.mp4,5ec8991fd473cb6824fbb2990fe4bd8482822a06a12659275a27627e6c7c0164,g01,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g01_c03.avi,v_cleanandjerk_g01_c03.avi,0.0,2.5,2.5,4.96,0.115,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0031.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0031.mp4,5a23d2f87fa12643cb2e18dddb8fd7185c051e63142867b40917c5f66032f314,g01,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g01_c01.avi,v_cleanandjerk_g01_c01.avi,0.0,2.5,2.5,4.0,0.107,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0027.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0027.mp4,662d3537705a071d3948545460ca4914343487d235cdbbc596d0981aeae11d92,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c03.avi,v_cleanandjerk_g03_c03.avi,0.0,4.968,4.968,11.04,0.193,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0023.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0023.mp4,92c192f7854d73d934f22581ed7d169a8b720270063581f2043ba65da90ca615,g03,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g03_c02.avi,v_cleanandjerk_g03_c02.avi,0.0,4.572,4.572,10.16,0.172,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0089.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0089.mp4,f0a5422532922b7baee8a01830aba963efab5193ca7b43bead4a9f826fd93f02,g06,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g06_c02.avi,v_cleanandjerk_g06_c02.avi,0.0,3.492,3.492,7.76,0.107,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0095.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0095.mp4,3bb26423710250a5ed4599cd7a66000e1deaa404a9791a815b7721dfddd9fa71,g06,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g06_c01.avi,v_cleanandjerk_g06_c01.avi,0.0,3.42,3.42,7.6,0.109,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0106.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0106.mp4,76ef84134625c06fc5c2f0529f510848f6e7fa4b830d28834749ec1ca42b5319,g07,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g07_c03.avi,v_cleanandjerk_g07_c03.avi,0.0,4.104,4.104,9.12,0.163,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0102.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0102.mp4,a6866a88427ad3f3cc0b3ce7f011f46d8dac96b76365ffa7e20c7327548dd405,g07,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g07_c01.avi,v_cleanandjerk_g07_c01.avi,0.0,4.104,4.104,9.12,0.156,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0046.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0046.mp4,d9b89e1ab6f48bd69c0ba8dbf1b74397a0788347f3d661843573a44754c57269,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g08_c04.avi,v_cleanandjerk_g08_c04.avi,0.0,5.0,5.0,11.12,0.191,train,grouped_train_parent_recording_unique_max2_per_group
clean,clean_from_cj_0039.mp4,/Users/josephkamil/Desktop/Capstone/Oly_Data/segmented/clean/clean_from_cj_0039.mp4,e6f045fab7a7fe3b67f846e8b08598caae4fe3e6c492ee928fd1aa39899c1d01,g08,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/clean_and_jerk/v_CleanAndJerk_g08_c01.avi,v_cleanandjerk_g08_c01.avi,0.0,4.248,4.248,9.44,0.143,train,grouped_train_parent_recording_unique_max2_per_group
