label,name,size,parent,trusted,path
unknown,bench_short.mov,3393760,Capstone,False,/Users/josephkamil/Desktop/Capstone/bench_short.mov
unknown,squat_8.mp4,2998318,Capstone,False,/Users/josephkamil/Desktop/Capstone/squat_8.mp4
unknown,Back Squat- knee valgus.mov,53707563,Capstone,False,/Users/josephkamil/Desktop/Capstone/Back Squat- knee valgus.mov
unknown,thruster-correct.mov,23329373,Capstone,False,/Users/josephkamil/Desktop/Capstone/thruster-correct.mov
unknown,yolo_track_crop.mp4,4577919,Capstone,False,/Users/josephkamil/Desktop/Capstone/yolo_track_crop.mp4
unknown,tracked_subject.mp4,3477747,Capstone,False,/Users/josephkamil/Desktop/Capstone/tracked_subject.mp4
unknown,backsquat_test_8s.mov,368473,Capstone,False,/Users/josephkamil/Desktop/Capstone/backsquat_test_8s.mov
unknown,squat_27.mp4,15411486,Capstone,False,/Users/josephkamil/Desktop/Capstone/squat_27.mp4
unknown,ringMuscleUp.mov,15206619,Capstone,False,/Users/josephkamil/Desktop/Capstone/ringMuscleUp.mov
unknown,thruster-correct-small.mp4,1133546,Capstone,False,/Users/josephkamil/Desktop/Capstone/thruster-correct-small.mp4
unknown,Front Squat- Depth.mov,59034108,Capstone,False,/Users/josephkamil/Desktop/Capstone/Front Squat- Depth.mov
unknown,barMuscleUp.mov,3506238,Capstone,False,/Users/josephkamil/Desktop/Capstone/barMuscleUp.mov
unknown,Burpee.mov,12340705,Capstone,False,/Users/josephkamil/Desktop/Capstone/Burpee.mov
unknown,squat_29.mp4,1639227,Capstone,False,/Users/josephkamil/Desktop/Capstone/squat_29.mp4
unknown,Front squats- butt wink .mov,47260543,Capstone,False,/Users/josephkamil/Desktop/Capstone/Front squats- butt wink .mov
unknown,yolo_crop_tracker.mp4,4315794,Capstone,False,/Users/josephkamil/Desktop/Capstone/yolo_crop_tracker.mp4
unknown,Front squats- bar drift.mov,49081646,Capstone,False,/Users/josephkamil/Desktop/Capstone/Front squats- bar drift.mov
unknown,squat_13.mp4,3499401,Capstone,False,/Users/josephkamil/Desktop/Capstone/squat_13.mp4
unknown,Front squat- elbow drop.mov,56408274,Capstone,False,/Users/josephkamil/Desktop/Capstone/Front squat- elbow drop.mov
unknown,Burpee_overlay_test.mp4,331009,Capstone,False,/Users/josephkamil/Desktop/Capstone/Burpee_overlay_test.mp4
unknown,backsquat_short.mov,1029794,Capstone,False,/Users/josephkamil/Desktop/Capstone/backsquat_short.mov
unknown,Back squats- forward lean.mov,31429399,Capstone,False,/Users/josephkamil/Desktop/Capstone/Back squats- forward lean.mov
unknown,bar_muscleup_overlay_test.mp4,91912,Capstone,False,/Users/josephkamil/Desktop/Capstone/bar_muscleup_overlay_test.mp4
unknown,crop_pose_tracker.mp4,3938146,Capstone,False,/Users/josephkamil/Desktop/Capstone/crop_pose_tracker.mp4
unknown,FrontSquat- correct3.mov,4983597,Capstone,False,/Users/josephkamil/Desktop/Capstone/FrontSquat- correct3.mov
unknown,IdealBenchPess2.mov,114622796,Capstone,False,/Users/josephkamil/Desktop/Capstone/IdealBenchPess2.mov
unknown,thruster_one_rep_720p.mp4,361238,Capstone,False,/Users/josephkamil/Desktop/Capstone/thruster_one_rep_720p.mp4
unknown,frontsquat-Correct2.mov,12613430,Capstone,False,/Users/josephkamil/Desktop/Capstone/frontsquat-Correct2.mov
unknown,squat_9.mp4,2245707,squat_keep,False,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_9.mp4
unknown,squat_21.mp4,8104471,squat_keep,False,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_21.mp4
unknown,squat_22.mp4,8535441,squat_keep,False,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_22.mp4
unknown,squat_26.mp4,8020440,squat_keep,False,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_26.mp4
unknown,squat_25.mp4,7902485,squat_keep,False,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_25.mp4
unknown,squat_28.mp4,9133127,squat_keep,False,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_28.mp4
unknown,squat_7.mp4,1461108,squat_keep,False,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_7.mp4
