feature,importance
wrist_y_delta,0.10073988311849472
elbow_mean,0.09682074846622085
last_overhead_pct,0.09308256288755697
elbow_std,0.07261367415954824
hip_mean,0.0529674046454181
hip_std,0.04588715623892276
knee_mean,0.041909691561858566
wrist_shoulder_distance_mean,0.033983164661018424
overhead_span_pct,0.031158235869421964
late_min_knee,0.028105240349905258
knee_std,0.025651041737496678
early_late_overhead_delta,0.02233898191762047
overhead_ratio,0.022298961547736303
wrist_y_max,0.02178586301650459
wrist_shoulder_distance_min,0.020299298583807912
wrist_shoulder_distance_delta,0.016967496233581392
wrist_shoulder_distance_std,0.012611233688722861
min_knee_angle,0.012441129172771436
knee_min,0.010923803127808563
wrist_y_mean,0.010647498188503577
hip_min,0.009995368031055461
max_elbow_angle,0.009743513731416645
min_hip_time_pct,0.009576828354171793
hip_max,0.009102858452434016
knee_velocity_mean,0.008181924506756671
wrist_y_std,0.008065404863278045
hip_y_mean,0.007877892301271552
elbow_max,0.007622138835083623
wrist_y_min,0.007514927814938566
min_hip_angle,0.0073787987298485945
hip_y_min,0.007210159335100751
elbow_min,0.007104285134227352
first_overhead_pct,0.006938978757955233
early_min_knee,0.006795493693148754
wrist_shoulder_distance_max,0.0067839260850751084
knee_velocity_peak,0.006651231039563539
bottom_to_overhead_time,0.006484429698099025
min_knee_time_pct,0.006242712488201366
mean_wrist_motion,0.006142982487766451
elbow_delta,0.006023937258272397
wrist_velocity_mean,0.0060184074226532205
mean_hip_motion,0.006011959133529393
hip_delta,0.005867985833812746
hip_y_std,0.005628924990995733
hip_y_max,0.005512095875704
knee_delta,0.005508420567234587
max_wrist_motion,0.005437188495332105
knee_max,0.0053481797619108614
hip_velocity_mean,0.005034341027002579
elbow_velocity_peak,0.004510666005009278
elbow_velocity_mean,0.004343609823758278
hip_velocity_peak,0.0041146818619517194
hip_y_delta,0.0038989106984170653
wrist_velocity_peak,0.0036922789795761925
max_hip_motion,0.003428714931344762
overhead_near_bottom,0.0005422667413801321
has_overhead,0.0002313680130196315
late_overhead_flag,0.00019913906678308422
shoulder_mean,0.0
shoulder_std,0.0
max_shoulder_angle,0.0
shoulder_min,0.0
shoulder_max,0.0
shoulder_delta,0.0
